timestamp,event type,instance_id,machine_id,n_cpu,normalized_mem,normalized_disk_space,cpu_id
0,Create,8962,58,16,0.169637357,0.113617073,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
0,Create,8963,90,8,0.084818678,0.085212805,16|17|18|19|20|21|22|23
0,Create,8965,341,8,0.169637357,0.056808536,40|41|42|43|44|45|46|47
0,Create,8966,733,4,0.042409339,0.034085122,44|45|46|47
0,Create,8967,943,8,0.127228017,0.085212805,24|25|26|27|28|29|30|31
0,Create,8968,818,4,0.042409339,0.034085122,60|61|62|63
0,Create,8970,882,4,0.042409339,0.034085122,20|21|22|23
0,Create,8971,86,4,0.042409339,0.034085122,40|41|42|43
0,Create,8972,16,4,0.042409339,0.034085122,48|49|50|51
0,Create,897,267,4,0.042409339,0.034085122,60|61|62|63
0,Create,8973,351,8,0.169637357,0.056808536,36|37|38|39|40|41|42|43
0,Create,8974,373,4,0.042409339,0.034085122,48|49|50|51
0,Create,8975,1200,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,8976,572,16,0.318070044,0.113617073,12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27
0,Create,8977,222,4,0.042409339,0.034085122,40|41|42|43
0,Create,8978,669,4,0.042409339,0.034085122,52|53|54|55
0,Create,8979,1233,8,0.084818678,0.056808536,4|5|6|7|8|9|10|11
0,Create,8980,1255,4,0.042409339,0.034085122,56|57|58|59
0,Create,8981,816,4,0.042409339,0.034085122,40|41|42|43
0,Create,8982,714,8,0.084818678,0.068170244,48|49|50|51|52|53|54|55
0,Create,8983,213,4,0.042409339,0.034085122,40|41|42|43
0,Create,8984,95,8,0.169637357,0.056808536,32|33|34|35|36|37|38|39
0,Create,8985,335,4,0.042409339,0.034085122,60|61|62|63
0,Create,898,673,4,0.042409339,0.034085122,48|49|50|51
0,Create,8986,98,4,0.042409339,0.034085122,44|45|46|47
0,Create,8988,1,4,0.042409339,0.034085122,48|49|50|51
0,Create,8989,394,4,0.042409339,0.034085122,28|29|30|31
0,Create,8990,1292,4,0.042409339,0.034085122,52|53|54|55
